Invoice ID,Date,Branch,City,Customer Type,Gender,Product,Category,Quantity,Unit Price,Payment,Rating,Sales
INV0092,2026-04-16,C,Mumbai,Normal,Male,Shampoo,Personal Care,7,193.54,Net Banking,3.1,1354.78
INV0093,2026-05-21,C,Mumbai,Normal,Male,Chips,Snacks,8,36.44,Card,3.3,291.52
INV0094,2026-03-21,C,Mumbai,Member,Male,Potato,Vegetables,8,37.13,Cash,4.1,297.04
INV0095,2026-05-08,D,Bengaluru,Member,Male,Rice,Grocery,2,66.92,Cash,4.9,133.84
INV0096,2026-04-27,C,Mumbai,Normal,Female,Cheese,Dairy,7,227.23,Cash,4.1,1590.61
INV0097,2026-03-12,D,Bengaluru,Normal,Male,Chocolate,Snacks,9,53.37,UPI,4.5,480.33
INV0098,2026-03-18,D,Bengaluru,Member,Male,Tea,Beverages,9,128.34,Card,4.7,1155.06
INV0099,2026-03-24,D,Bengaluru,Member,Female,Biscuits,Snacks,8,29.74,Net Banking,4.7,237.92
INV0100,2026-04-09,B,Delhi,Member,Female,Cold Drink,Beverages,7,63.78,Net Banking,5.0,446.46
INV0101,2026-04-23,B,Delhi,Member,Female,Tomato,Vegetables,3,48.35,UPI,3.2,145.05
INV0102,2026-05-01,D,Bengaluru,Normal,Male,Milk,Dairy,7,56.96,UPI,4.6,398.72
INV0103,2026-03-23,C,Mumbai,Normal,Female,Tea,Beverages,7,122.37,Net Banking,4.3,856.59
INV0104,2026-01-24,D,Bengaluru,Member,Female,Noodles,Grocery,2,50.92,Cash,3.9,101.84
INV0105,2026-01-15,A,Jaipur,Normal,Male,Shampoo,Personal Care,5,178.38,Card,3.6,891.9
INV0106,2026-02-14,C,Mumbai,Member,Male,Bananas,Fruits,9,56.6,Cash,3.2,509.4
INV0107,2026-04-29,D,Bengaluru,Normal,Male,Chips,Snacks,8,36.03,Cash,4.3,288.24
INV0108,2026-04-24,D,Bengaluru,Normal,Male,Face Wash,Personal Care,8,123.2,UPI,4.9,985.6
INV0109,2026-05-04,C,Mumbai,Normal,Male,Bananas,Fruits,8,61.83,Net Banking,3.2,494.64
INV0110,2026-06-18,D,Bengaluru,Normal,Female,Cold Drink,Beverages,5,63.53,UPI,3.8,317.65
INV0111,2026-02-28,A,Jaipur,Normal,Female,Cold Drink,Beverages,1,68.8,Card,4.2,68.8
INV0112,2026-06-10,C,Mumbai,Member,Male,Eggs,Dairy,10,91.97,UPI,4.3,919.7
INV0113,2026-03-25,C,Mumbai,Normal,Male,Potato,Vegetables,6,32.39,Card,4.5,194.34
INV0114,2026-02-12,B,Delhi,Normal,Female,Chocolate,Snacks,9,47.06,Card,3.5,423.54
INV0115,2026-02-06,D,Bengaluru,Normal,Female,Soap,Personal Care,6,46.78,UPI,4.5,280.68
INV0116,2026-03-09,B,Delhi,Member,Female,Apples,Fruits,9,150.47,UPI,4.1,1354.23
INV0117,2026-06-22,D,Bengaluru,Member,Female,Coffee,Beverages,5,184.98,UPI,3.5,924.9
INV0118,2026-06-12,A,Jaipur,Member,Male,Chips,Snacks,9,37.15,UPI,4.6,334.35
INV0119,2026-01-30,C,Mumbai,Normal,Female,Bananas,Fruits,1,56.32,Net Banking,3.2,56.32
INV0120,2026-06-17,B,Delhi,Member,Male,Apples,Fruits,9,138.96,Net Banking,3.2,1250.64
INV0121,2026-04-24,D,Bengaluru,Member,Female,Chips,Snacks,5,34.49,Cash,3.9,172.45
INV0122,2026-04-12,B,Delhi,Member,Female,Coffee,Beverages,6,168.46,UPI,3.6,1010.76
INV0123,2026-03-27,A,Jaipur,Normal,Male,Potato,Vegetables,4,32.71,UPI,3.5,130.84
INV0124,2026-03-26,B,Delhi,Member,Male,Cold Drink,Beverages,9,61.93,Cash,4.5,557.37
INV0125,2026-01-29,A,Jaipur,Normal,Female,Face Wash,Personal Care,3,126.88,Cash,4.3,380.64
INV0126,2026-03-09,A,Jaipur,Member,Male,Biscuits,Snacks,4,27.67,Cash,3.1,110.68
INV0127,2026-04-26,D,Bengaluru,Member,Female,Cheese,Dairy,2,206.4,UPI,4.0,412.8
INV0128,2026-04-20,A,Jaipur,Member,Female,Cheese,Dairy,1,213.02,Net Banking,4.4,213.02
INV0129,2026-02-02,D,Bengaluru,Member,Male,Potato,Vegetables,2,32.61,UPI,3.6,65.22
INV0130,2026-06-29,C,Mumbai,Member,Female,Apples,Fruits,9,151.08,UPI,3.2,1359.72
INV0131,2026-04-17,B,Delhi,Member,Female,Bananas,Fruits,4,59.53,Net Banking,4.5,238.12
INV0132,2026-01-18,C,Mumbai,Member,Male,Bananas,Fruits,5,58.2,Net Banking,3.2,291.0
INV0133,2026-06-21,A,Jaipur,Normal,Male,Rice,Grocery,6,69.24,Card,3.2,415.44
INV0134,2026-01-27,C,Mumbai,Normal,Female,Bananas,Fruits,1,63.53,Card,4.2,63.53
INV0135,2026-01-30,B,Delhi,Normal,Female,Biscuits,Snacks,4,30.75,Card,4.5,123.0
INV0136,2026-01-08,B,Delhi,Normal,Male,Bananas,Fruits,10,63.31,Card,3.4,633.1
INV0137,2026-02-06,C,Mumbai,Normal,Female,Tea,Beverages,3,117.14,UPI,4.5,351.42
INV0138,2026-02-10,A,Jaipur,Member,Female,Rice,Grocery,4,72.76,Card,3.7,291.04
INV0139,2026-03-11,C,Mumbai,Member,Male,Cold Drink,Beverages,1,66.0,UPI,3.9,66.0
INV0140,2026-04-21,D,Bengaluru,Member,Male,Tomato,Vegetables,7,45.77,Card,3.2,320.39
INV0141,2026-02-22,D,Bengaluru,Member,Male,Cheese,Dairy,1,225.88,UPI,3.6,225.88
INV0142,2026-04-21,B,Delhi,Member,Male,Biscuits,Snacks,5,31.27,Net Banking,3.4,156.35
INV0143,2026-04-12,D,Bengaluru,Member,Female,Noodles,Grocery,9,56.79,UPI,4.7,511.11
INV0144,2026-07-01,A,Jaipur,Normal,Female,Bananas,Fruits,2,55.38,Net Banking,4.3,110.76
INV0145,2026-01-23,C,Mumbai,Member,Female,Shampoo,Personal Care,6,177.26,Card,3.9,1063.56
INV0146,2026-03-28,A,Jaipur,Member,Female,Eggs,Dairy,7,89.07,Card,3.4,623.49
INV0147,2026-03-31,B,Delhi,Member,Male,Rice,Grocery,2,70.12,Card,4.5,140.24
INV0148,2026-02-15,B,Delhi,Member,Male,Eggs,Dairy,5,84.28,UPI,4.9,421.4
INV0149,2026-02-08,D,Bengaluru,Member,Female,Potato,Vegetables,10,36.42,Card,3.9,364.2
INV0150,2026-03-21,D,Bengaluru,Member,Female,Potato,Vegetables,5,35.74,UPI,3.9,178.7
INV0151,2026-04-29,A,Jaipur,Member,Male,Bread,Bakery,5,39.16,Net Banking,4.2,195.8
INV0152,2026-05-09,A,Jaipur,Normal,Female,Potato,Vegetables,10,37.29,Net Banking,3.3,372.9
INV0153,2026-01-11,A,Jaipur,Normal,Male,Potato,Vegetables,6,32.78,Cash,3.5,196.68
INV0154,2026-04-10,D,Bengaluru,Member,Female,Potato,Vegetables,10,35.13,Card,3.8,351.3
INV0155,2026-03-14,C,Mumbai,Member,Male,Chips,Snacks,6,32.49,Net Banking,3.5,194.94
INV0156,2026-02-03,B,Delhi,Normal,Female,Tea,Beverages,3,111.96,Net Banking,4.2,335.88
INV0157,2026-05-11,A,Jaipur,Normal,Male,Soap,Personal Care,6,45.42,Net Banking,3.7,272.52
INV0158,2026-02-27,C,Mumbai,Member,Female,Soap,Personal Care,4,42.7,Cash,5.0,170.8
INV0159,2026-06-08,B,Delhi,Member,Male,Rice,Grocery,2,67.71,Card,3.3,135.42
INV0160,2026-01-12,D,Bengaluru,Normal,Male,Biscuits,Snacks,10,28.38,Net Banking,3.8,283.8
INV0161,2026-05-01,B,Delhi,Member,Male,Potato,Vegetables,8,35.62,Card,4.8,284.96
INV0162,2026-04-08,B,Delhi,Normal,Female,Coffee,Beverages,10,185.14,Card,4.0,1851.4
INV0163,2026-06-14,D,Bengaluru,Member,Female,Cooking Oil,Grocery,10,157.61,UPI,4.0,1576.1
INV0164,2026-02-11,C,Mumbai,Normal,Female,Noodles,Grocery,9,58.82,UPI,3.5,529.38
INV0165,2026-04-17,B,Delhi,Normal,Female,Bananas,Fruits,4,56.08,UPI,3.1,224.32
INV0166,2026-01-26,C,Mumbai,Member,Male,Eggs,Dairy,2,88.36,Card,4.7,176.72
INV0167,2026-06-30,C,Mumbai,Normal,Female,Biscuits,Snacks,5,28.26,Cash,3.9,141.3
INV0168,2026-03-15,A,Jaipur,Normal,Female,Rice,Grocery,4,64.61,UPI,3.5,258.44
INV0169,2026-06-02,A,Jaipur,Member,Male,Bread,Bakery,10,38.33,Net Banking,4.1,383.3
INV0170,2026-02-17,B,Delhi,Normal,Male,Biscuits,Snacks,1,29.0,Net Banking,4.3,29.0
INV0171,2026-05-01,A,Jaipur,Normal,Male,Cheese,Dairy,2,236.71,Net Banking,3.1,473.42
INV0172,2026-03-03,D,Bengaluru,Member,Male,Coffee,Beverages,1,172.91,Card,4.5,172.91
INV0173,2026-06-14,A,Jaipur,Member,Female,Cold Drink,Beverages,6,67.45,Card,3.4,404.7
INV0174,2026-03-17,D,Bengaluru,Member,Female,Tomato,Vegetables,3,45.95,UPI,3.4,137.85
INV0175,2026-01-10,B,Delhi,Member,Female,Bread,Bakery,5,38.82,Card,4.5,194.1
INV0176,2026-02-01,B,Delhi,Normal,Female,Soap,Personal Care,1,43.97,Card,4.6,43.97
INV0177,2026-06-27,D,Bengaluru,Member,Male,Apples,Fruits,7,145.45,Net Banking,4.0,1018.15
INV0178,2026-03-24,C,Mumbai,Member,Male,Rice,Grocery,2,72.54,Card,3.2,145.08
INV0179,2026-03-31,C,Mumbai,Normal,Male,Soap,Personal Care,10,43.61,Net Banking,3.9,436.1
INV0180,2026-06-21,C,Mumbai,Normal,Male,Chips,Snacks,5,37.79,UPI,4.3,188.95
INV0181,2026-01-09,C,Mumbai,Normal,Male,Cheese,Dairy,3,230.6,Net Banking,3.3,691.8
INV0182,2026-04-05,B,Delhi,Member,Male,Coffee,Beverages,10,176.03,Net Banking,3.7,1760.3
INV0183,2026-01-30,A,Jaipur,Member,Female,Cold Drink,Beverages,6,61.23,Cash,3.1,367.38
INV0184,2026-02-24,B,Delhi,Member,Female,Tomato,Vegetables,9,45.13,Net Banking,5.0,406.17
INV0185,2026-04-24,C,Mumbai,Normal,Female,Tomato,Vegetables,3,42.84,Cash,5.0,128.52
INV0186,2026-07-01,C,Mumbai,Member,Female,Coffee,Beverages,9,186.03,Cash,4.9,1674.27
INV0187,2026-05-07,B,Delhi,Normal,Male,Coffee,Beverages,2,180.25,Cash,3.1,360.5
INV0188,2026-03-21,C,Mumbai,Member,Male,Potato,Vegetables,9,36.7,UPI,3.8,330.3
INV0189,2026-03-23,D,Bengaluru,Normal,Male,Cheese,Dairy,7,216.86,Cash,4.3,1518.02
INV0190,2026-04-21,D,Bengaluru,Member,Male,Potato,Vegetables,6,36.01,Cash,4.0,216.06
INV0191,2026-03-30,A,Jaipur,Member,Female,Shampoo,Personal Care,5,180.52,Cash,4.9,902.6
INV0192,2026-05-09,C,Mumbai,Member,Female,Rice,Grocery,9,67.21,UPI,4.3,604.89
INV0193,2026-01-21,B,Delhi,Member,Male,Cooking Oil,Grocery,10,153.81,UPI,3.1,1538.1
INV0194,2026-06-10,C,Mumbai,Normal,Male,Chocolate,Snacks,7,52.14,Net Banking,4.1,364.98
INV0195,2026-02-10,C,Mumbai,Member,Male,Tomato,Vegetables,7,43.16,UPI,3.9,302.12
INV0196,2026-04-13,D,Bengaluru,Member,Female,Potato,Vegetables,10,33.34,Card,3.3,333.4
INV0197,2026-04-26,C,Mumbai,Member,Male,Cheese,Dairy,6,222.17,Card,3.5,1333.02
INV0198,2026-02-10,A,Jaipur,Normal,Female,Bread,Bakery,7,38.66,Cash,4.6,270.62
INV0199,2026-03-20,C,Mumbai,Normal,Female,Chocolate,Snacks,8,52.1,Net Banking,4.0,416.8
INV0200,2026-01-13,A,Jaipur,Member,Female,Apples,Fruits,4,140.12,UPI,3.6,560.48
INV0201,2026-04-14,D,Bengaluru,Member,Female,Soap,Personal Care,2,45.26,Card,3.7,90.52
INV0202,2026-04-09,D,Bengaluru,Member,Female,Bread,Bakery,4,40.45,UPI,4.0,161.8
INV0203,2026-04-06,C,Mumbai,Member,Male,Chips,Snacks,2,36.01,Net Banking,4.6,72.02
INV0204,2026-01-12,C,Mumbai,Member,Female,Noodles,Grocery,3,58.86,UPI,3.1,176.58
INV0205,2026-06-06,C,Mumbai,Normal,Male,Tomato,Vegetables,3,45.14,Card,3.6,135.42
INV0206,2026-05-02,D,Bengaluru,Member,Female,Chips,Snacks,5,36.34,Card,4.6,181.7
INV0207,2026-03-09,C,Mumbai,Member,Male,Tea,Beverages,7,123.34,Net Banking,4.9,863.38
INV0208,2026-06-24,B,Delhi,Member,Female,Bread,Bakery,3,40.53,Cash,3.5,121.59
INV0209,2026-04-16,A,Jaipur,Member,Female,Chocolate,Snacks,6,46.15,Cash,4.0,276.9
INV0210,2026-05-15,D,Bengaluru,Member,Female,Bread,Bakery,9,41.32,Net Banking,3.8,371.88
INV0211,2026-02-19,B,Delhi,Member,Female,Potato,Vegetables,6,37.31,Net Banking,4.9,223.86
INV0212,2026-03-23,C,Mumbai,Normal,Male,Noodles,Grocery,5,53.23,Net Banking,4.0,266.15
INV0213,2026-02-07,C,Mumbai,Member,Female,Soap,Personal Care,9,42.28,Card,3.6,380.52
INV0214,2026-02-21,C,Mumbai,Normal,Female,Rice,Grocery,8,68.28,Cash,4.7,546.24
INV0215,2026-01-13,C,Mumbai,Member,Male,Noodles,Grocery,3,56.73,Cash,4.3,170.19
INV0216,2026-06-24,B,Delhi,Member,Female,Eggs,Dairy,7,83.56,UPI,4.5,584.92
INV0217,2026-06-16,A,Jaipur,Member,Female,Noodles,Grocery,3,59.21,Net Banking,3.4,177.63
INV0218,2026-05-17,C,Mumbai,Normal,Male,Tea,Beverages,1,115.88,Cash,4.5,115.88
INV0219,2026-05-07,A,Jaipur,Normal,Male,Cooking Oil,Grocery,3,148.03,Net Banking,3.4,444.09
INV0220,2026-04-27,C,Mumbai,Normal,Female,Bread,Bakery,10,36.86,Card,5.0,368.6
INV0221,2026-02-11,D,Bengaluru,Member,Male,Biscuits,Snacks,8,31.69,Card,4.5,253.52
INV0222,2026-06-06,C,Mumbai,Normal,Male,Cooking Oil,Grocery,6,138.34,Cash,4.7,830.04
INV0223,2026-02-05,D,Bengaluru,Member,Male,Bananas,Fruits,2,60.15,Cash,4.0,120.3
INV0224,2026-03-19,B,Delhi,Member,Female,Milk,Dairy,4,52.89,Card,4.2,211.56
INV0225,2026-03-20,A,Jaipur,Member,Male,Face Wash,Personal Care,4,122.95,Net Banking,3.3,491.8
INV0226,2026-02-04,C,Mumbai,Member,Male,Shampoo,Personal Care,5,183.99,Cash,4.0,919.95
INV0227,2026-06-24,D,Bengaluru,Normal,Male,Chips,Snacks,9,34.29,Cash,4.5,308.61
INV0228,2026-05-21,A,Jaipur,Member,Male,Cheese,Dairy,6,218.13,UPI,4.8,1308.78
INV0229,2026-06-24,B,Delhi,Member,Female,Cold Drink,Beverages,3,65.38,UPI,3.4,196.14
INV0230,2026-05-12,D,Bengaluru,Normal,Female,Rice,Grocery,8,74.47,Cash,3.8,595.76
INV0231,2026-01-01,A,Jaipur,Normal,Female,Noodles,Grocery,5,54.67,Card,4.5,273.35
INV0232,2026-05-01,A,Jaipur,Member,Male,Bread,Bakery,2,39.51,UPI,3.1,79.02
INV0233,2026-04-07,D,Bengaluru,Member,Female,Cooking Oil,Grocery,7,156.46,Net Banking,3.8,1095.22
INV0234,2026-01-01,B,Delhi,Member,Male,Coffee,Beverages,9,169.02,Cash,4.5,1521.18
INV0235,2026-03-05,C,Mumbai,Member,Female,Potato,Vegetables,9,35.97,Cash,3.9,323.73
INV0236,2026-03-03,B,Delhi,Member,Female,Face Wash,Personal Care,2,114.02,UPI,3.4,228.04
INV0237,2026-01-12,A,Jaipur,Normal,Male,Chips,Snacks,10,32.39,Cash,3.8,323.9
INV0238,2026-05-28,B,Delhi,Member,Female,Noodles,Grocery,1,52.51,Cash,3.6,52.51
INV0239,2026-03-18,C,Mumbai,Normal,Male,Eggs,Dairy,3,87.15,Net Banking,3.6,261.45
INV0240,2026-06-28,B,Delhi,Normal,Female,Bananas,Fruits,1,60.54,Card,3.8,60.54
INV0241,2026-07-01,B,Delhi,Member,Male,Soap,Personal Care,9,44.11,Card,3.3,396.99
INV0242,2026-03-04,D,Bengaluru,Member,Male,Bread,Bakery,7,40.4,Net Banking,3.5,282.8
INV0243,2026-03-10,C,Mumbai,Member,Male,Rice,Grocery,6,74.73,UPI,3.8,448.38
INV0244,2026-02-23,A,Jaipur,Normal,Male,Rice,Grocery,10,66.51,Net Banking,4.7,665.1
INV0245,2026-05-03,C,Mumbai,Member,Male,Soap,Personal Care,1,48.29,UPI,4.8,48.29
INV0246,2026-04-30,B,Delhi,Member,Female,Apples,Fruits,9,149.3,Net Banking,4.1,1343.7
INV0247,2026-05-01,C,Mumbai,Normal,Female,Soap,Personal Care,9,43.28,UPI,4.5,389.52
INV0248,2026-01-05,C,Mumbai,Member,Male,Chocolate,Snacks,7,48.97,Cash,3.5,342.79
INV0249,2026-05-21,D,Bengaluru,Member,Male,Soap,Personal Care,6,42.5,Net Banking,4.3,255.0
INV0250,2026-02-13,C,Mumbai,Normal,Female,Face Wash,Personal Care,8,125.06,Net Banking,4.5,1000.48
INV0251,2026-01-20,C,Mumbai,Member,Male,Cooking Oil,Grocery,9,141.36,UPI,4.9,1272.24
INV0252,2026-02-25,A,Jaipur,Member,Male,Milk,Dairy,4,54.23,UPI,4.0,216.92
